Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
252482341462381,Cristina Díaz,Cristina Díaz,53741,61
1933205943628352,Desdelaizquierda,Desdelaizquierda,53389,12
102099001452432,Morena es de Todos,ViveMx,53288,9
119581228114135,Clara Luz Flores Carrales,These ads ran without a disclaimer,53112,6
361036630742937,La Política Online MX,La Política Online MX,52674,81
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,52455,128
208742852603725,Secretaría de la Transparencia y Rendición de Cuentas,Ads Project Media,52224,14
648648465748839,Tiempo de Sonora,Tiempo de Sonora,51948,4
882220185230076,Nicolás Alvarado,Nicolas Alvarado,51732,3
273155006056314,Luis Algorri,Luis Algorri,51716,113
584681978863918,Lily Leal,Partido Verde Ecologista de México,51499,16
742040689262613,Imelda Castro Castro,Imelda Castro Castro,51110,112
1635164270048816,Anthony Domínguez Vargas,Adán Figueroa,51051,11
1511184785846424,Rodrigo Otañez,Rodrigo Otañez,50898,88
165492000632018,Fernando Izaguirre,Fernando Izaguirre Valdés,50754,142
358038814286053,San Pedro Garza García,Edgar Geovanny Lobato Jaime,50496,88
485010671619821,Gerardo Quirino Velázquez Chávez,Gerardo Chavez,50076,9
342020912961614,Claudia Yáñez Centeno,Claudia Valeria Yañez Centeno Y Cabrera,49825,22
2324692674473838,Será Marina,Será Marina,49438,14
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Cámara de Diputados - H. Congreso de la Unión,49164,38
103821621408670,Secretaría de Créditos Personales,These ads ran without a disclaimer,48366,33
822022574540865,Frentes Políticos,Frentes Políticos,48340,66
895938283870406,Democrats Abroad - Mexico City Chapter,Democrats Abroad Mexico,48280,8
248040005385097,Movimiento Ciudadano San Luis Potosí,Movimiento Ciudadano San Luis Potosí,48242,22
158056281051438,Querétaro elige,México elige,48000,15
888862754470271,Fher Villarreal,Partido Verde Ecologista de México,47987,15
1713592382231687,Blog del Regio,Blog del Regio,47821,220
184518858298382,Maki Ortiz,Anibal Augusto Flores Garcia,47806,35
379501236155049,Benjamín Alfaro,Benjamín Alfaro,47519,49
837850536243904,UDC - Unidad Democrática de Coahuila,UDC - Unidad Democrática de Coahuila,46978,29
393851270632362,Maru Campos Galván,Maru Campos Galván,46791,21
1872765882942974,Imelda Sanmiguel,Imelda Sanmiguel Sanchez,46702,161
187594175156005,César Menchaca,UDC - Unidad Democrática de Coahuila,46489,42
108596299163827,Jericó Abramo Masso,Jericó Abramo Masso,46301,69
